title,author,date,views,likes,link
How menopause affects the brain,Lisa Mosconi,December 2019,3600000,108000,https://ted.com/talks/lisa_mosconi_how_menopause_affects_the_brain
What happens when a Silicon Valley technologist works for the government,Matt Cutts,April 2019,1400000,44000,https://ted.com/talks/matt_cutts_what_happens_when_a_silicon_valley_technologist_works_for_the_government
Can you solve the death race riddle?,Alex Gendler,March 2020,1400000,42000,https://ted.com/talks/alex_gendler_can_you_solve_the_death_race_riddle
The Egyptian myth of Isis and the seven scorpions,Alex Gendler,March 2020,2000000,60000,https://ted.com/talks/alex_gendler_the_egyptian_myth_of_isis_and_the_seven_scorpions
This is your brain on air pollution,María Neira,July 2019,493000,14000,https://ted.com/talks/maria_neira_this_is_your_brain_on_air_pollution
The evolution of the coffee cup lid,A.J. Jacobs,December 2019,336000,10000,https://ted.com/talks/a_j_jacobs_the_evolution_of_the_coffee_cup_lid
How teachers can help students navigate trauma,Lisa Godwin,October 2019,2400000,72000,https://ted.com/talks/lisa_godwin_how_teachers_can_help_students_navigate_trauma
Epic Engineering: Building the Brooklyn Bridge ,Alex Gendler,February 2020,1200000,36000,https://ted.com/talks/alex_gendler_epic_engineering_building_the_brooklyn_bridge
Everything changed when the fire crystal got stolen,Alex Gendler,February 2020,1800000,56000,https://ted.com/talks/alex_gendler_everything_changed_when_the_fire_crystal_got_stolen
Parasitic worms hold back human progress. Here's how we can end them,Ellen Agler,April 2019,326000,9700,https://ted.com/talks/ellen_agler_parasitic_worms_hold_back_human_progress_here_s_how_we_can_end_them
A new type of medicine custom-made with tiny proteins,Christopher Bahl,April 2019,1800000,55000,https://ted.com/talks/christopher_bahl_a_new_type_of_medicine_custom_made_with_tiny_proteins
Can you solve the dragon jousting riddle?,Alex Gendler,January 2020,2200000,66000,https://ted.com/talks/alex_gendler_can_you_solve_the_dragon_jousting_riddle
How civilization could destroy itself and 4 ways we could prevent it,Nick Bostrom,April 2019,2500000,76000,https://ted.com/talks/nick_bostrom_how_civilization_could_destroy_itself_and_4_ways_we_could_prevent_it
Como sera el cine del futuro?,Diego Prilusky,October 2019,9800,296,https://ted.com/talks/diego_prilusky_como_sera_el_cine_del_futuro
The paradox of efficiency,Edward Tenner,April 2019,2000000,62000,https://ted.com/talks/edward_tenner_the_paradox_of_efficiency
Can time be wasted?,Alexander Leitner,October 2019,23000,713,https://ted.com/talks/alexander_leitner_can_time_be_wasted
Why doesn't the Leaning Tower of Pisa fall over?,Alex Gendler,December 2019,4600000,139000,https://ted.com/talks/alex_gendler_why_doesn_t_the_leaning_tower_of_pisa_fall_over
3 ways to be a more effective fundraiser,Kara Logan Berlin,February 2019,2300000,69000,https://ted.com/talks/kara_logan_berlin_3_ways_to_be_a_more_effective_fundraiser
Is marijuana bad for your brain?,Anees Bahji,December 2019,7300000,221000,https://ted.com/talks/anees_bahji_is_marijuana_bad_for_your_brain
Can you outsmart this logical fallacy?,Alex Gendler,November 2019,1800000,55000,https://ted.com/talks/alex_gendler_can_you_outsmart_this_logical_fallacy
Why we should all try therapy,Emily Anhalt,October 2019,205000,6100,https://ted.com/talks/emily_anhalt_why_we_should_all_try_therapy
Como hablar con otros que piensan distinto,Guadalupe Nogues,October 2019,1500000,46000,https://ted.com/talks/guadalupe_nogues_como_hablar_con_otros_que_piensan_distinto
The myth of Loki and the master builder,Alex Gendler,November 2019,2100000,63000,https://ted.com/talks/alex_gendler_the_myth_of_loki_and_the_master_builder
How can we support the emotional well-being of teachers?,Sydney Jensen,October 2019,2700000,81000,https://ted.com/talks/sydney_jensen_how_can_we_support_the_emotional_well_being_of_teachers
What it's like to live on the International Space Station,Cady Coleman,April 2019,505000,15000,https://ted.com/talks/cady_coleman_what_it_s_like_to_live_on_the_international_space_station
3 ways to lead tough unavoidable conversations,Adar Cohen,October 2019,197000,5900,https://ted.com/talks/adar_cohen_3_ways_to_lead_tough_unavoidable_conversations
Trash or historical artifact?,Lara Maiklem,October 2019,9900,298,https://ted.com/talks/lara_maiklem_trash_or_historical_artifact
Small rockets are the next space revolution,Peter Beck,April 2019,445000,13000,https://ted.com/talks/peter_beck_small_rockets_are_the_next_space_revolution
A historical musical that examines Black identity in the 1901 World's Fair,Amma Y. Ghartey-Tagoe Kootin,April 2019,2100000,63000,https://ted.com/talks/amma_y_ghartey_tagoe_kootin_a_historical_musical_that_examines_black_identity_in_the_1901_world_s_fair
Are the Illuminati real?,Chip Berlet,October 2019,3800000,114000,https://ted.com/talks/chip_berlet_are_the_illuminati_real
What productive conflict can offer a workplace,Jess Kutch,April 2019,2100000,63000,https://ted.com/talks/jess_kutch_what_productive_conflict_can_offer_a_workplace
Michael Tubbs on politics as a force for good,The TED Interview,October 2019,8600,259,https://ted.com/talks/the_ted_interview_michael_tubbs_on_politics_as_a_force_for_good
The medical potential of AI and metabolites,Leila Pirhaji,April 2019,1900000,58000,https://ted.com/talks/leila_pirhaji_the_medical_potential_of_ai_and_metabolites
Claws vs. nails,Matthew Borths,October 2019,2300000,70000,https://ted.com/talks/matthew_borths_claws_vs_nails
How close are we to uploading our minds?,Michael S.A. Graziano,October 2019,477000,14000,https://ted.com/talks/michael_s_a_graziano_how_close_are_we_to_uploading_our_minds
The sounds and sights of tap dance,Andrew Nemr,April 2019,9100,273,https://ted.com/talks/andrew_nemr_the_sounds_and_sights_of_tap_dance
How I bring myth and magic to life,Hiromi Ozaki,April 2019,19000,576,https://ted.com/talks/hiromi_ozaki_how_i_bring_myth_and_magic_to_life
Why we need more (real) science in fiction,Alexis Gambis,April 2019,23000,708,https://ted.com/talks/alexis_gambis_why_we_need_more_real_science_in_fiction
How we experience awe and why it matters,Beau Lotto and Cirque du Soleil,April 2019,415000,12000,https://ted.com/talks/beau_lotto_and_cirque_du_soleil_how_we_experience_awe_and_why_it_matters
How you can help transform the internet into a place of trust,Claire Wardle,April 2019,2000000,61000,https://ted.com/talks/claire_wardle_how_you_can_help_transform_the_internet_into_a_place_of_trust
The Greek myth of Talos the first robot,Adrienne Mayor,October 2019,2600000,78000,https://ted.com/talks/adrienne_mayor_the_greek_myth_of_talos_the_first_robot
The link between fishing cats and mangrove forest conservation,Ashwin Naidu,April 2019,1800000,54000,https://ted.com/talks/ashwin_naidu_the_link_between_fishing_cats_and_mangrove_forest_conservation
The pride and power of representation in film,Jon M. Chu,April 2019,2000000,60000,https://ted.com/talks/jon_m_chu_the_pride_and_power_of_representation_in_film
Hawking's black hole paradox explained,Fabio Pacucci,October 2019,3100000,95000,https://ted.com/talks/fabio_pacucci_hawking_s_black_hole_paradox_explained
The danger of AI is weirder than you think,Janelle Shane,April 2019,2800000,86000,https://ted.com/talks/janelle_shane_the_danger_of_ai_is_weirder_than_you_think
The Maya myth of the morning star,TED-Ed,October 2019,1100000,34000,https://ted.com/talks/ted_ed_the_maya_myth_of_the_morning_star
How nanoparticles could change the way we treat cancer,Joy Wolfram,October 2018,408000,12000,https://ted.com/talks/joy_wolfram_how_nanoparticles_could_change_the_way_we_treat_cancer
An architect's guide to living on Mars,Bjarke Ingels,April 2019,36000,1100,https://ted.com/talks/bjarke_ingels_an_architect_s_guide_to_living_on_mars
A love story for the coral reef crisis,Ayana Elizabeth Johnson,April 2019,358000,10000,https://ted.com/talks/ayana_elizabeth_johnson_a_love_story_for_the_coral_reef_crisis
How to 3D print human tissue,Taneka Jones,October 2019,348000,10000,https://ted.com/talks/taneka_jones_how_to_3d_print_human_tissue
What causes an economic recession? ,Richard Coffin,October 2019,1400000,42000,https://ted.com/talks/richard_coffin_what_causes_an_economic_recession
How we can eliminate child sexual abuse material from the internet,Julie Cordua,April 2019,1800000,54000,https://ted.com/talks/julie_cordua_how_we_can_eliminate_child_sexual_abuse_material_from_the_internet
The Resistance | Think Like A Coder Ep 2,Alex Rosenthal,October 2019,622000,18000,https://ted.com/talks/alex_rosenthal_the_resistance_think_like_a_coder_ep_2
After billions of years of monotony the universe is waking up,David Deutsch,April 2019,2200000,66000,https://ted.com/talks/david_deutsch_after_billions_of_years_of_monotony_the_universe_is_waking_up
King of the World' / 'Nothing Has to Be True' / 'My Silver Lining', First Aid Kit,April 2019,5900,179,https://ted.com/talks/first_aid_kit_king_of_the_world_nothing_has_to_be_true_my_silver_lining
What's the future of capitalism?,Adena Friedman,April 2019,54000,1600,https://ted.com/talks/adena_friedman_what_s_the_future_of_capitalism
Revelations from a lifetime of dance,Judith Jamison and members of the Alvin Ailey American Dance Theater,April 2019,294000,8800,https://ted.com/talks/judith_jamison_and_members_of_the_alvin_ailey_american_dance_theater_revelations_from_a_lifetime_of_dance
Why should you read Dante's 'Divine Comedy'?,Sheila Marie Orfano,October 2019,1300000,41000,https://ted.com/talks/sheila_marie_orfano_why_should_you_read_dante_s_divine_comedy
Are we living in a simulation?,Zohreh Davoudi,October 2019,1200000,37000,https://ted.com/talks/zohreh_davoudi_are_we_living_in_a_simulation
How we're helping local reporters turn important stories into national news,Gangadhar Patil,April 2019,1600000,49000,https://ted.com/talks/gangadhar_patil_how_we_re_helping_local_reporters_turn_important_stories_into_national_news
The transformative power of video games,Herman Narula,April 2019,1800000,56000,https://ted.com/talks/herman_narula_the_transformative_power_of_video_games
The first and last king of Haiti,Marlene Daut,October 2019,505000,15000,https://ted.com/talks/marlene_daut_the_first_and_last_king_of_haiti
For Estefani Third Grade Who Made Me A Card,Aracelis Girmay,October 2019,185000,5500,https://ted.com/talks/aracelis_girmay_for_estefani_third_grade_who_made_me_a_card
What happens in your brain when you taste food,Camilla Arndal Andersen,September 2019,3700000,112000,https://ted.com/talks/camilla_arndal_andersen_what_happens_in_your_brain_when_you_taste_food
Ugly History: Japanese American incarceration camps,Densho,October 2019,1000000,32000,https://ted.com/talks/densho_ugly_history_japanese_american_incarceration_camps
How community-led conservation can save wildlife,Moreangels Mbizah,April 2019,1900000,58000,https://ted.com/talks/moreangels_mbizah_how_community_led_conservation_can_save_wildlife
How we experience time and memory through art,Sarah Sze,April 2019,327000,9800,https://ted.com/talks/sarah_sze_how_we_experience_time_and_memory_through_art
Creativity builds nations,Muthoni Drummer Queen,April 2019,253000,7600,https://ted.com/talks/muthoni_drummer_queen_creativity_builds_nations
Why should you read 'The God of Small Things' by Arundhati Roy?,Laura Wright,September 2019,597000,17000,https://ted.com/talks/laura_wright_why_should_you_read_the_god_of_small_things_by_arundhati_roy
A bold plan to empower 1.6 million out-of-school girls in India,Safeena Husain,April 2019,1700000,53000,https://ted.com/talks/safeena_husain_a_bold_plan_to_empower_1_6_million_out_of_school_girls_in_india
Tumba La Nyama' / 'Mulema',Richard Bona,April 2019,631000,18000,https://ted.com/talks/richard_bona_tumba_la_nyama_mulema
How we use astrophysics to study earthbound problems,Federica Bianco,April 2019,1900000,57000,https://ted.com/talks/federica_bianco_how_we_use_astrophysics_to_study_earthbound_problems
How climate change could make our food less nutritious,Kristie Ebi,April 2019,2200000,68000,https://ted.com/talks/kristie_ebi_how_climate_change_could_make_our_food_less_nutritious
Can you solve the secret sauce riddle?,Alex Gendler,September 2019,2400000,74000,https://ted.com/talks/alex_gendler_can_you_solve_the_secret_sauce_riddle
What streaming means for the future of entertainment,Emmett Shear,April 2019,342000,10000,https://ted.com/talks/emmett_shear_what_streaming_means_for_the_future_of_entertainment
A brief history of chess,Alex Gendler,September 2019,6900000,209000,https://ted.com/talks/alex_gendler_a_brief_history_of_chess
What reading slowly taught me about writing,Jacqueline Woodson,April 2019,2700000,83000,https://ted.com/talks/jacqueline_woodson_what_reading_slowly_taught_me_about_writing
How we can make racism a solvable problem and improve policing,Dr. Phillip Atiba Goff,April 2019,2200000,67000,https://ted.com/talks/dr_phillip_atiba_goff_how_we_can_make_racism_a_solvable_problem_and_improve_policing
Inside the bizarre world of internet trolls and propagandists,Andrew Marantz,April 2019,2200000,68000,https://ted.com/talks/andrew_marantz_inside_the_bizarre_world_of_internet_trolls_and_propagandists
Stumbling towards intimacy': An improvised TED Talk,Anthony Veneziale,April 2019,483000,14000,https://ted.com/talks/anthony_veneziale_stumbling_towards_intimacy_an_improvised_ted_talk
A climate change solution that's right under our feet,Asmeret Asefaw Berhe,April 2019,2000000,60000,https://ted.com/talks/asmeret_asefaw_berhe_a_climate_change_solution_that_s_right_under_our_feet
What I learned about freedom after escaping North Korea,Yeonmi Park,April 2019,4600000,139000,https://ted.com/talks/yeonmi_park_what_i_learned_about_freedom_after_escaping_north_korea
How the West can adapt to a rising Asia,Kishore Mahbubani,April 2019,2200000,67000,https://ted.com/talks/kishore_mahbubani_how_the_west_can_adapt_to_a_rising_asia
A day in the life of a Cossack warrior,Alex Gendler,August 2019,596000,17000,https://ted.com/talks/alex_gendler_a_day_in_the_life_of_a_cossack_warrior
The power to think ahead in a reckless age,Bina Venkataraman,April 2019,2500000,77000,https://ted.com/talks/bina_venkataraman_the_power_to_think_ahead_in_a_reckless_age
How craving attention makes you less creative,Joseph Gordon-Levitt,April 2019,6600000,199000,https://ted.com/talks/joseph_gordon_levitt_how_craving_attention_makes_you_less_creative
You Have the Rite',Marc Bamuthi Joseph,April 2019,3400000,102000,https://ted.com/talks/marc_bamuthi_joseph_you_have_the_rite
What's at the bottom of the ocean and how we're getting there,Victor Vescovo,April 2019,955000,28000,https://ted.com/talks/victor_vescovo_what_s_at_the_bottom_of_the_ocean_and_how_we_re_getting_there
What it was like to grow up under China's one-child policy,Nanfu Wang,April 2019,3300000,100000,https://ted.com/talks/nanfu_wang_what_it_was_like_to_grow_up_under_china_s_one_child_policy
How policewomen make communities safer,Ivonne Roman,April 2019,1900000,58000,https://ted.com/talks/ivonne_roman_how_policewomen_make_communities_safer
The architectural wonder of impermanent cities,Rahul Mehrotra,April 2019,1900000,58000,https://ted.com/talks/rahul_mehrotra_the_architectural_wonder_of_impermanent_cities
What I learned from writing jokes for The Onion,Brian Janosch,April 2019,30000,913,https://ted.com/talks/brian_janosch_what_i_learned_from_writing_jokes_for_the_onion
A new way to get every child ready for kindergarten,Claudia Miner,April 2019,2300000,69000,https://ted.com/talks/claudia_miner_a_new_way_to_get_every_child_ready_for_kindergarten
Mentalism mind reading and the art of getting inside your head,Derren Brown,April 2019,1900000,58000,https://ted.com/talks/derren_brown_mentalism_mind_reading_and_the_art_of_getting_inside_your_head
The fascinating (and dangerous) places scientists aren't exploring,Ella Al-Shamahi,April 2019,2300000,71000,https://ted.com/talks/ella_al_shamahi_the_fascinating_and_dangerous_places_scientists_aren_t_exploring
How film transforms the way we see the world,Sharmeen Obaid-Chinoy,April 2019,2400000,73000,https://ted.com/talks/sharmeen_obaid_chinoy_how_film_transforms_the_way_we_see_the_world
Origami robots that reshape and transform themselves,Jamie Paik,April 2019,786000,23000,https://ted.com/talks/jamie_paik_origami_robots_that_reshape_and_transform_themselves
The future of psychedelic-assisted psychotherapy,Rick Doblin,April 2019,4000000,121000,https://ted.com/talks/rick_doblin_the_future_of_psychedelic_assisted_psychotherapy
Grief and love in the animal kingdom,Barbara J. King,April 2019,3400000,104000,https://ted.com/talks/barbara_j_king_grief_and_love_in_the_animal_kingdom
A vision for the future of Sierra Leone,Julius Maada Bio,April 2019,1800000,55000,https://ted.com/talks/julius_maada_bio_a_vision_for_the_future_of_sierra_leone
The world's first crowdsourced space traffic monitoring system,Moriba Jah,April 2019,1800000,54000,https://ted.com/talks/moriba_jah_the_world_s_first_crowdsourced_space_traffic_monitoring_system
What emotions look like in a dog's brain,Gregory Berns,April 2015,2100000,63000,https://ted.com/talks/gregory_berns_what_emotions_look_like_in_a_dog_s_brain
How I helped make Lego accessible to the blind,Matthew Shifrin,April 2019,51000,1500,https://ted.com/talks/matthew_shifrin_how_i_helped_make_lego_accessible_to_the_blind
The next big thing is coming from the Bronx again,Jon Gray,April 2019,1900000,58000,https://ted.com/talks/jon_gray_the_next_big_thing_is_coming_from_the_bronx_again
You are not alone in your loneliness,Jonny Sun,April 2019,4000000,120000,https://ted.com/talks/jonny_sun_you_are_not_alone_in_your_loneliness
Why we need to fight misinformation about vaccines,Ethan Lindenberger,April 2019,2200000,66000,https://ted.com/talks/ethan_lindenberger_why_we_need_to_fight_misinformation_about_vaccines
Architectural secrets of the world's ancient wonders,Brandon Clifford,April 2019,765000,22000,https://ted.com/talks/brandon_clifford_architectural_secrets_of_the_world_s_ancient_wonders
A Bird Made of Birds',Sarah Kay,April 2019,3200000,97000,https://ted.com/talks/sarah_kay_a_bird_made_of_birds
What almost dying taught me about living,Suleika Jaouad,April 2019,4600000,139000,https://ted.com/talks/suleika_jaouad_what_almost_dying_taught_me_about_living
How synthetic biology could wipe out humanity and how we can stop it,Rob Reid,April 2019,2300000,70000,https://ted.com/talks/rob_reid_how_synthetic_biology_could_wipe_out_humanity_and_how_we_can_stop_it
5 challenges we could solve by designing new proteins,David Baker,April 2019,2100000,63000,https://ted.com/talks/david_baker_5_challenges_we_could_solve_by_designing_new_proteins
How ocean noise destroys marine ecosystems,Steve Simpson,April 2019,55000,1600,https://ted.com/talks/steve_simpson_how_ocean_noise_destroys_marine_ecosystems
The political power of being a good neighbor,Michael Tubbs,April 2019,3100000,94000,https://ted.com/talks/michael_tubbs_the_political_power_of_being_a_good_neighbor
You Are Not Alone' / 'Extraordinary Being' / 'Shine',Emeli Sande,April 2019,46000,1300,https://ted.com/talks/emeli_sande_you_are_not_alone_extraordinary_being_shine
My life as a work of art,Daniel Lismore,April 2019,443000,13000,https://ted.com/talks/daniel_lismore_my_life_as_a_work_of_art
The true power of a good outfit,Lucy Clayton,April 2019,77000,2300,https://ted.com/talks/lucy_clayton_the_true_power_of_a_good_outfit
3 steps to turn everyday get-togethers into transformative gatherings,Priya Parker,April 2019,2500000,75000,https://ted.com/talks/priya_parker_3_steps_to_turn_everyday_get_togethers_into_transformative_gatherings
The mysterious microbes living deep inside the earth and how they could help humanity,Karen Lloyd,April 2019,2000000,62000,https://ted.com/talks/karen_lloyd_the_mysterious_microbes_living_deep_inside_the_earth_and_how_they_could_help_humanity
The most detailed map of galaxies black holes and stars ever made,Juna Kollmeier,April 2019,2600000,80000,https://ted.com/talks/juna_kollmeier_the_most_detailed_map_of_galaxies_black_holes_and_stars_ever_made
An ingenious proposal for scaling up marine protection,The Nature Conservancy,April 2019,1900000,57000,https://ted.com/talks/the_nature_conservancy_an_ingenious_proposal_for_scaling_up_marine_protection
The lies our culture tells us about what matters and a better way to live,David Brooks,April 2019,4700000,143000,https://ted.com/talks/david_brooks_the_lies_our_culture_tells_us_about_what_matters_and_a_better_way_to_live
Floating cities the LEGO House and other architectural forms of the future,Bjarke Ingels,April 2019,1200000,36000,https://ted.com/talks/bjarke_ingels_floating_cities_the_lego_house_and_other_architectural_forms_of_the_future
The amazing brains and morphing skin of octopuses and other cephalopods,Roger Hanlon,April 2019,932000,27000,https://ted.com/talks/roger_hanlon_the_amazing_brains_and_morphing_skin_of_octopuses_and_other_cephalopods
Why should you read 'The Master and Margarita'?,Alex Gendler,May 2019,582000,17000,https://ted.com/talks/alex_gendler_why_should_you_read_the_master_and_margarita
What it takes to launch a telescope,Erika Hamden,April 2019,1800000,56000,https://ted.com/talks/erika_hamden_what_it_takes_to_launch_a_telescope
How to deconstruct racism one headline at a time,Baratunde Thurston,April 2019,5300000,160000,https://ted.com/talks/baratunde_thurston_how_to_deconstruct_racism_one_headline_at_a_time
Solar energy can help put power back in the hands of the people,Scott Nguyen,April 2019,10000,326,https://ted.com/talks/scott_nguyen_solar_energy_can_help_put_power_back_in_the_hands_of_the_people
My identity is a superpower not an obstacle,America Ferrera,April 2019,3000000,91000,https://ted.com/talks/america_ferrera_my_identity_is_a_superpower_not_an_obstacle
The anti-CEO playbook,Hamdi Ulukaya,April 2019,4300000,129000,https://ted.com/talks/hamdi_ulukaya_the_anti_ceo_playbook
The next global agricultural revolution,Bruce Friedrich,April 2019,2400000,72000,https://ted.com/talks/bruce_friedrich_the_next_global_agricultural_revolution
How to build your confidence and spark it in others,Brittany Packnett Cunningham,April 2019,6500000,195000,https://ted.com/talks/brittany_packnett_cunningham_how_to_build_your_confidence_and_spark_it_in_others
The difference between healthy and unhealthy love,Katie Hood,April 2019,9300000,281000,https://ted.com/talks/katie_hood_the_difference_between_healthy_and_unhealthy_love
How AI could become an extension of your mind,Arnav Kapur,April 2019,747000,22000,https://ted.com/talks/arnav_kapur_how_ai_could_become_an_extension_of_your_mind
Why should you read 'Crime and Punishment'?,Alex Gendler,May 2019,2800000,86000,https://ted.com/talks/alex_gendler_why_should_you_read_crime_and_punishment
Digital humans that look just like us,Doug Roble,April 2019,697000,20000,https://ted.com/talks/doug_roble_digital_humans_that_look_just_like_us
Sleep is your superpower,Matt Walker,April 2019,15000000,450000,https://ted.com/talks/matt_walker_sleep_is_your_superpower
How your brain's executive function works and how to improve it,Sabine Doebel,December 2018,4500000,135000,https://ted.com/talks/sabine_doebel_how_your_brain_s_executive_function_works_and_how_to_improve_it
The case for having kids,Wajahat Ali,April 2019,2200000,66000,https://ted.com/talks/wajahat_ali_the_case_for_having_kids
The crisis of leadership and a new way forward,Halla Tomasdottir and Bryn Freedman,February 2019,2400000,73000,https://ted.com/talks/halla_tomasdottir_and_bryn_freedman_the_crisis_of_leadership_and_a_new_way_forward
How to revive your belief in democracy,Eric Liu,April 2019,1900000,58000,https://ted.com/talks/eric_liu_how_to_revive_your_belief_in_democracy
Why most parenting advice is wrong,Yuko Munakata,April 2019,754000,22000,https://ted.com/talks/yuko_munakata_why_most_parenting_advice_is_wrong
Everything around you can become a computer,Ivan Poupyrev,April 2019,607000,18000,https://ted.com/talks/ivan_poupyrev_everything_around_you_can_become_a_computer
